
Bogført;Tekst;Rentedato;Beløb;Saldo
02-01-2018;Bs betaling MASTERCARD;02-01-2018;-480,00;886,93
02-01-2018;Dankort-nota REMA 1000 Rønn 99190;02-01-2018;-178,03;1366,93
02-01-2018;Dankort-nota FDB Kvickly Rø 92112;02-01-2018;-103,75;1544,96
02-01-2018;Dankort-nota FDB Kvickly Rø 26149;02-01-2018;-124,00;1648,71
02-01-2018;Dankort-nota REMA 1000 Rønne 4406;02-01-2018;-157,60;1772,71
02-01-2018;Dankort-nota FDB Kvickly Rø 66173;02-01-2018;-92,50;1930,31
29-12-2017;Bgs Grundkonto med betal;29-12-2017;-5700,00;2022,81
29-12-2017;Bgs Gevinstopsparing;29-12-2017;-5000,00;7722,81
29-12-2017;Bgs budget;29-12-2017;-10000,00;12722,81
29-12-2017;Dankort-nota MENY           40049;29-12-2017;-49,95;22722,81
29-12-2017;Dankort-nota Netto Rønne    27659;29-12-2017;-125,00;22772,76
29-12-2017;104: UDBET. FRA DSA;29-12-2017;6785,00;22897,76
29-12-2017;Tjenestemandspension;29-12-2017;1701,00;16112,76
29-12-2017;Pension fra PKA                    Meddelnr. 02603146317363;29-12-2017;6564,33;14411,76
29-12-2017;Løn;29-12-2017;7370,72;7847,43
28-12-2017;Dankort-nota Søstrene Grene 62637;28-12-2017;-30,78;476,71
28-12-2017;Dankort-nota MENY           39060;28-12-2017;-79,95;507,49
28-12-2017;Dankort-nota Netto Rønne    26405;28-12-2017;-95,45;587,44
28-12-2017;Dankort-nota FDB Kvickly Rø 25374;28-12-2017;-40,00;682,89
27-12-2017;Bgs Fra Gevinstopsparing;27-12-2017;1000,00;722,89
27-12-2017;Dankort-nota REMA 1000 Rønne 2996;27-12-2017;-199,29;-277,11
27-12-2017;MobilePay:  Thomas N;24-12-2017;200,00;-77,82
27-12-2017;Dankort-nota FDB Kvickly Rø 85979;27-12-2017;-546,22;-277,82
27-12-2017;Dankort-nota Rønne Apotek   67433;27-12-2017;-54,00;268,40
27-12-2017;Dankort-nota RØNNE BIO      65257;27-12-2017;-225,00;322,40
27-12-2017;Dankort-nota Netto Rønne    38732;27-12-2017;-144,80;547,40
