
Bogført;Tekst;Rentedato;Beløb;Saldo
01-02-2018;Bs betaling MASTERCARD;01-02-2018;-5880,00;4125,96
01-02-2018;Dankort-nota Netto Allinge  14385;01-02-2018;-94,50;10005,96
31-01-2018;Bgs Gevinstopsparing;31-01-2018;-2500,00;10100,46
31-01-2018;Bgs budget;31-01-2018;-10000,00;12600,46
31-01-2018;Dankort-nota Rønne Syd FDB  93239;31-01-2018;-168,50;22600,46
31-01-2018;Dankort-nota Vibegård       32531;31-01-2018;-31,00;22768,96
31-01-2018;Dankort-nota REMA 1000 Rønn 27893;31-01-2018;-203,00;22799,96
31-01-2018;Dankort-nota Land & Fritid- 14639;31-01-2018;-299,85;23002,96
31-01-2018;104: UDBET. FRA DSA;31-01-2018;3946,00;23302,81
31-01-2018;Tjenestemandspension;31-01-2018;1701,00;19356,81
31-01-2018;Pension fra PKA                    Meddelnr. 02925230718031;31-01-2018;8590,33;17655,81
31-01-2018;Løn;31-01-2018;241,11;9065,48
31-01-2018;Løn;31-01-2018;8324,99;8824,37
30-01-2018;Visa køb EUR      48,00            HOTEL GENIO   ROMA                 Den 26.01;30-01-2018;-362,76;499,38
30-01-2018;Visa køb EUR      12,04            714 COOP RINASCIMENT               Den 26.01;30-01-2018;-90,99;862,14
29-01-2018;Visa køb EUR       8,15            714 COOP RINASCIMENT               Den 25.01;29-01-2018;-61,60;953,13
29-01-2018;Dankort-nota H&M 804          118;29-01-2018;-129,00;1014,73
29-01-2018;Dankort-nota ECCO Frederiks 43366;29-01-2018;-185,00;1143,73
22-01-2018;Pengeautomat den 20.01. kl. 13.59  0650-75 eksnr. 9938;20-01-2018;-500,00;1328,73
22-01-2018;Bgs Fra Gevinstopsparing;20-01-2018;1000,00;1828,73
22-01-2018;Visa køb DKK       6,00            MOB.PAY*KANTINE ULLA               Den 18.01;22-01-2018;-6,00;828,73
22-01-2018;Dankort-nota Rønne Syd FDB  17965;22-01-2018;-229,00;834,73
22-01-2018;Dankort-nota REMA 1000 Rønn 16209;22-01-2018;-63,15;1063,73
19-01-2018;Dankort-nota SuperB Allinge 31073;19-01-2018;-270,45;1126,88
18-01-2018;Bgs Fra Gevinstopsparing;17-01-2018;2000,00;1397,33
17-01-2018;Bgs Fra Gevinstopsparing;17-01-2018;3500,00;-602,67
17-01-2018;Dankort-nota FDB Kvickly Rø 79003;17-01-2018;-49,95;-4102,67
17-01-2018;Dankort-nota Rønne Apotek   60055;17-01-2018;-398,85;-4052,72
17-01-2018;Dankort-nota MATAS - 17796  56073;17-01-2018;-333,48;-3653,87
17-01-2018;Dankort-nota Netto Rønne    46237;17-01-2018;-114,95;-3320,39
17-01-2018;Dankort-nota Vibegård       31768;17-01-2018;-25,00;-3205,44
17-01-2018;Dankort-nota jem&fix Rønne  27576;17-01-2018;-79,00;-3180,44
17-01-2018;Dankort-nota Land & Fritid- 21522;17-01-2018;-69,95;-3101,44
17-01-2018;Dankort-nota DYRLÆGEGÅRDEN  12347;17-01-2018;-118,75;-3031,49
17-01-2018;Fremmed valuta;17-01-2018;-4512,60;-2912,74
15-01-2018;Dankort-nota REMA 1000 Rønne 9988;15-01-2018;-124,40;1599,86
12-01-2018;Dankort-nota H&M 800         2319;12-01-2018;134,25;1724,26
11-01-2018;Dankort-nota H&M 800         2251;11-01-2018;-186,75;1590,01
10-01-2018;Dankort-nota Netto Vibegård 55296;10-01-2018;-130,95;1776,76
10-01-2018;Dankort-nota Vibegård       31469;10-01-2018;-25,00;1907,71
09-01-2018;Bgs Fra Gevinstopsparing;08-01-2018;500,00;1932,71
09-01-2018;Dankort-nota FDB Kvickly Rø 42668;09-01-2018;-108,00;1432,71
09-01-2018;Pension fra PKA                    Meddelnr. 02715316918009;09-01-2018;2026,00;1540,71
08-01-2018;Dankort-nota RØNNE BIO      70351;08-01-2018;-211,00;-485,29
08-01-2018;Dankort-nota MobilePay      69576;08-01-2018;-140,00;-274,29
08-01-2018;Dankort-nota Netto Rønne    46399;08-01-2018;-247,23;-134,29
08-01-2018;Dankort-nota SIMON'S A/S    33483;08-01-2018;-160,80;112,94
08-01-2018;Dankort-nota SIMON'S A/S    28286;08-01-2018;-330,94;273,74
08-01-2018;Dankort-nota MobilePay      13889;08-01-2018;-60,00;604,68
08-01-2018;Dankort-nota Restaurant Texa 9515;08-01-2018;-301,00;664,68
05-01-2018;Dankort-nota FDB Kvickly Rø 72220;05-01-2018;-250,00;965,68
05-01-2018;MobilePay:  Thomas N;05-01-2018;160,00;1215,68
05-01-2018;MobilePay:  Thomas N;05-01-2018;400,00;1055,68
05-01-2018;MobilePay:  Thomas N;05-01-2018;250,00;655,68
05-01-2018;Dankort-nota SIMON'S A/S    85873;05-01-2018;-669,97;405,68
05-01-2018;Dankort-nota SIMON'S A/S    67100;05-01-2018;-191,37;1075,65
05-01-2018;Dankort-nota H&M 800         1656;05-01-2018;-70,00;1267,02
04-01-2018;Dankort-nota MATAS - 17796  54774;04-01-2018;-50,00;1337,02
03-01-2018;Dankort-nota FDB Kvickly Rø 88950;03-01-2018;-153,22;1387,02
03-01-2018;Dankort-nota FDB Kvickly Rø 88660;03-01-2018;-716,14;1540,24
03-01-2018;Dankort-nota YouSee Rønne   12687;04-01-2018;299,00;2256,38
03-01-2018;Dankort-nota Rønne Syd FDB S 8962;03-01-2018;-153,44;1957,38
03-01-2018;Dankort-nota TELMORE A/S    HW26B;03-01-2018;-129,00;2110,82
03-01-2018;danmark;03-01-2018;1352,89;2239,82
