
Bogført;Tekst;Rentedato;Beløb;Saldo
03-04-2018;Dankort-nota Gudhjem Bakke   4312;03-04-2018;-450,00;4168,72
28-03-2018;Dankort-nota FDB Kvickly Rø 19146;28-03-2018;-290,15;4618,72
28-03-2018;Dankort-nota RØNNE FISKEFORR 6293;28-03-2018;-176,00;4908,87
28-03-2018;Dankort-nota FDB Kvickly Rø 47770;28-03-2018;-15,00;5084,87
28-03-2018;Bgs Gevinstopsparing;28-03-2018;-2000,00;5099,87
28-03-2018;Bgs Gevinstopsparing;28-03-2018;-2000,00;7099,87
28-03-2018;Bgs budget;28-03-2018;-10000,00;9099,87
28-03-2018;Tjenestemandspension;28-03-2018;1701,00;19099,87
28-03-2018;Pension fra PKA                    Meddelnr. 02536449418087;28-03-2018;8590,33;17398,87
28-03-2018;Løn;28-03-2018;8804,21;8808,54
27-03-2018;Bgs KNUDSKER EL APS;27-03-2018;-413,73;4,33
27-03-2018;Dankort-nota FDB Kvickly Ne 95565;27-03-2018;-238,90;418,06
27-03-2018;Dankort-nota REMA 1000 Rønn 90199;27-03-2018;-112,35;656,96
27-03-2018;Dankort-nota Netto Rønne    32235;27-03-2018;-88,40;769,31
26-03-2018;Bgs Fra Grundkonto med b           etaling;26-03-2018;1000,00;857,71
26-03-2018;Dankort-nota FDB Kvickly Rø 47158;26-03-2018;-15,00;-142,29
26-03-2018;Dankort-nota MATAS - 17796  32742;26-03-2018;-66,95;-127,29
26-03-2018;Dankort-nota FDB Kvickly Rø 13087;26-03-2018;-234,15;-60,34
26-03-2018;Dankort-nota REMA 1000 Rønn 88373;26-03-2018;-66,90;173,81
26-03-2018;Dankort-nota REMA 1000 Rønn 87461;26-03-2018;-70,70;240,71
26-03-2018;Dankort-nota REMA 1000 Rønn 87068;26-03-2018;-320,10;311,41
26-03-2018;Dankort-nota MobilePay      23360;26-03-2018;-125,00;631,51
26-03-2018;Dankort-nota FDB Kvickly Rø 20027;26-03-2018;-314,50;756,51
22-03-2018;Bgs Fra Grundkonto med b           etaling;22-03-2018;1000,00;1071,01
22-03-2018;Dankort-nota REMA 1000 Rønn 84344;22-03-2018;-104,20;71,01
19-03-2018;Pengeautomat den 18.03. kl. 13.11  0650-74 eksnr. 1186;18-03-2018;-500,00;175,21
19-03-2018;Dankort-nota REMA 1000 Rønn 79786;19-03-2018;-85,11;675,21
19-03-2018;Dankort-nota H&M 800         7676;19-03-2018;-134,25;760,32
19-03-2018;Dankort-nota H&M 800         7440;20-03-2018;79,95;894,57
16-03-2018;Dankort-nota REMA 1000 Rønn 77807;16-03-2018;-115,10;814,62
16-03-2018;Dankort-nota Rønne Apotek   70742;16-03-2018;-66,00;929,72
16-03-2018;Dankort-nota FDB Kvickly Rø 61238;16-03-2018;-195,75;995,72
16-03-2018;Dankort-nota Land & Fritid- 25300;16-03-2018;-136,40;1191,47
16-03-2018;Dankort-nota Ostehjørnet    25061;16-03-2018;-91,20;1327,87
16-03-2018;Dankort-nota Jysk D050      17648;16-03-2018;-90,00;1419,07
15-03-2018;Bgs Fra Grundkonto med b           etaling;15-03-2018;1500,00;1509,07
15-03-2018;Dankort-nota REMA 1000 Rønn 76876;15-03-2018;-210,53;9,07
12-03-2018;Bgs Fra Gevinstopsparing;11-03-2018;2000,00;219,60
12-03-2018;Dankort-nota FDB Kvickly Rø 12483;12-03-2018;-102,58;-1780,40
12-03-2018;Dankort-nota Hjorths Fabrik  7627;12-03-2018;-300,00;-1677,82
12-03-2018;Dankort-nota Billi Bi Conce 66330;12-03-2018;-1199,00;-1377,82
12-03-2018;Dankort-nota Rejsekort - DS 67723;12-03-2018;-300,00;-178,82
12-03-2018;Dankort-nota Ikea - 121, AC 53736;12-03-2018;-2511,00;121,18
12-03-2018;Dankort-nota DGI Byen       24021;12-03-2018;-185,00;2632,18
12-03-2018;Dankort-nota DGI Byen       17859;12-03-2018;-100,00;2817,18
12-03-2018;Dankort-nota H&M 817         8061;12-03-2018;-129,00;2917,18
09-03-2018;Dankort-nota Magasin, Lyngb 43834;09-03-2018;-290,00;3046,18
09-03-2018;Dankort-nota Speich Design  27871;09-03-2018;-79,50;3336,18
09-03-2018;Dankort-nota SIMON'S A/S    21443;09-03-2018;-272,95;3415,68
08-03-2018;Bgs Fra Gevinstopsparing;08-03-2018;2000,00;3688,63
07-03-2018;Pengeautomat den 07.03. kl. 17.27  0650-73 eksnr. 6119;07-03-2018;-500,00;1688,63
07-03-2018;Dankort-nota Netto Rønne    87185;07-03-2018;-60,90;2188,63
07-03-2018;Dankort-nota KELDOR         25126;07-03-2018;-1500,00;2249,53
05-03-2018;Dankort-nota FDB Kvickly Rø 41705;05-03-2018;-110,00;3749,53
05-03-2018;Dankort-nota H&M 800         6801;05-03-2018;-119,90;3859,53
05-03-2018;Dankort-nota REMA 1000 Rønn 62376;05-03-2018;-263,30;3979,43
05-03-2018;Dankort-nota FDB Kvickly Røn 6865;05-03-2018;-591,00;4242,73
05-03-2018;Dankort-nota FDB Kvickly Røn 6673;05-03-2018;-327,85;4833,73
05-03-2018;Dankort-nota TELMORE A/S    RJZEB;05-03-2018;-129,00;5161,58
01-03-2018;Bs betaling MASTERCARD;01-03-2018;-2681,64;5290,58
