
Bogført;Tekst;Rentedato;Beløb;Saldo
31-10-2017;Bgs Gevinstopsparing;31-10-2017;-3000,00;4530,27
31-10-2017;Bgs budget;31-10-2017;-10000,00;7530,27
31-10-2017;Dankort-nota FDB Kvickly Rø 62134;31-10-2017;-342,75;17530,27
31-10-2017;Dankort-nota Vibegård       28502;31-10-2017;-25,00;17873,02
31-10-2017;104: UDBET. FRA DSA;31-10-2017;9187,00;17898,02
31-10-2017;Tjenestemandspension;31-10-2017;1701,00;8711,02
31-10-2017;Pension fra PKA                    Meddelnr. 02892406817304;31-10-2017;6564,01;7010,02
31-10-2017;Gebyr, overf. 29.09 - 31.10.2017   Netbank, stk. 2;01-11-2017;-2,00;446,01
30-10-2017;Bgs Thomas;27-10-2017;-50,00;448,01
30-10-2017;Bgs Fra Gevinstopsparing;30-10-2017;500,00;498,01
30-10-2017;Bgs Fra Gevinstopsparing;29-10-2017;500,00;-1,99
30-10-2017;Bgs th;27-10-2017;-500,00;-501,99
30-10-2017;Pengeautomat den 30.10. kl. 11.07  0650-74 eksnr. 9517;30-10-2017;-500,00;-1,99
30-10-2017;MobilePay:  Thomas N;28-10-2017;650,00;498,01
30-10-2017;MobilePay:  Thomas N;27-10-2017;1,00;-151,99
30-10-2017;Dankort-nota Imerco Rønne   96617;30-10-2017;-199,96;-152,99
30-10-2017;Dankort-nota MENY           51350;30-10-2017;-119,85;46,97
30-10-2017;Dankort-nota Netto Rønne    45857;30-10-2017;-40,00;166,82
30-10-2017;Dankort-nota REMA 1000 Rønn 28925;30-10-2017;-245,45;206,82
30-10-2017;Dankort-nota Imerco Rønne   24327;30-10-2017;-631,84;452,27
30-10-2017;Dankort-nota Land & Fritid- 11367;30-10-2017;-69,95;1084,11
30-10-2017;Dankort-nota MobilePay      43336;30-10-2017;-1,00;1154,06
30-10-2017;Dankort-nota MobilePay      28465;30-10-2017;-100,00;1155,06
